places,state,type,rating,description,best_time_to_visit,avg_accommodation_cost/day(Rs)
Devbagh,karnataka,Beach,4.1,"Pristine blue water, picture perfect backdrop of beautiful mountains and lush green belt of casuarinas trees blend together perfectly to give you Devbagh. It is an amazing exotic island lying along the coastline of Arabian sea about 2 kms from the southern part of Goa. With splendid weather througho...",Throughout the year,6069.29
Nandi Hills,karnataka,Adventure,4.1,"Located around 60 kilometres away from Bangalore, Nandi Hills is one such tourist spot that has gradually been discovered by visitors over the years and has now become a well-known weekend getaway.",Throughout the year,5161.49
Karwar,karnataka,Beach,4.3,"Karwar is a port city with scenic beaches surrounded by casuarinas trees along the Arabian sea coastline. Located 15kms away from Goa, on the west coast of Indian Peninsula, It is both a natural harbour as well as a town with a history that goes back to the 15th century.",October to Mid May,6868.83
Halebidu,karnataka,Historical,4.7,"Halebid (or Halebidu) is a city located in the Hassan district of Karnataka state. Formerly known as Dwarasamudra, Halebid is a city with adorned with a beautiful collection of temples, shrines and sculptures. It is also known as the Gem of Indian architecture owing to its sterling Hoysala architect...",October to January,3118.42
Bijapur,karnataka,Historical,4.2,"Famous for the Gol Gumbaj and Ibrahim Rauza which is considered to be the Taj Mahal of the Deccan, Bijapur is a tourist destination in Karnataka that takes its visitors back in time through its glorious ancient structures. Bijapur is an important commercial district in the state of Karnata...",March - June,2949.81
Shivagange,karnataka,Adventure,4.3,"Shivagange, a hillock situated 56 km from Bangalore, is a combination of temples and scenic beauty that makes it both a pilgrimage as well as an adventure spot. From a distance, the hillock looks like a 'Shiva Linga', with a spring flowing nearby that's locally called Ganga, thereby naming it Shivag...",September - May,5461.86
Maravanthe,karnataka,Cultural,4.0,Maravanthe is a getaway which can be best described as nature's basket full of mesmerizing picturesque views. A beautiful beach town with white sand spread miles and miles along the coast fetches the beach a nickname of a Virgin Beach.,October - April,2673.31
Mangalore,karnataka,Beach,3.9,"Located between the Arabian Sea and the Western Ghats, the port city of Mangalore or Mangaluru is known for its swaying coconut palms, beautiful beaches and temple architecture. It is also an important industrial, commercial, educational and healthcare hub of the state of Karnataka.",Throughout the year,3294.19
Srirangapatna,karnataka,Religious,4.3,"Srirangapatna is a small island town in the Cauvery river in Karnataka. Located 18 kms from Mysore, the town is an architectural masterpiece of Hoysala and Vijayanagar styles evident in its monuments. One of the most important Vaishnavite centres of pilgrimage- the Ranganathaswamy tem...",Throughout the year,2718.49
Savandurga,karnataka,Adventure,5.0,"Situated 60 kms to the west of Bangalore, Savandurga, considered to be one of the largest single rock formations in the whole of Asia. It comprises of two hills, Billigudda (white hill) and Karigudda (black hill) and has a temple situated at the foothill and a pond nearby. Most trekkers choose Billi...",October to June,5297.04
Chikkaballapur,karnataka,Adventure,4.3,"Chikballapura town is located about 57km from Bangalore, Karnataka and is an important port link in North Bangalore area and also a major educational hub. Nandi Hills, Bhoga Nandeehwara, Vivekananda Waterfalls and Yoga Nandesshwara temples are some of the famous places here providing oppor...",October to June,3797.06
Honnemaradu,karnataka,Adventure,5.0,"Honnemaradu is a small cosy village, by the Honnemaradu Reservoir. The site is set in the middle of a valley and a weekend getaway to this place is nothing less than an adventure camp. The little village has very few people, and the only attraction is the water sports done at the Honnemaradu la...",November to March,2524.79
Anthargange,karnataka,Adventure,4.6,"Anthargange is situated in the Kolar district of Karnataka in the Shathashrunga range, about 70 km from Bangalore. The mountains at an altitude of 1712 meters from sea level with rocky boulders, small caves and dense plantations are one of the best getaways for trekking, rock climbing and cave explo...",November to May,5347.51
Bheemeshwari,karnataka,Religious,4.6,"Bheemeshwari, a small town in Karnataka's Mandya district, is popular as a paradise for fishing enthusiasts as it is home to the Mahseer fishes - one of the finest game fish in the world. This town is tranquil and is the perfect getaway for a short trip from Bangalore. Due to its prox...",November to March,4155.35
Dubare,karnataka,Adventure,4.4,"Dubare is an untamed beauty, popular for its elephant training camp where visitors can watch, learn about and get involved in a number of activities with the elephants creating a unique, enjoyable and memorable experience. It has a hilly terrain with backwaters which are also the host of a number of...",October to June,5303.47
Kundapura,karnataka,Religious,3.8,"Culturally rich, a treasure trove of mesmerizing nature and environ of spirituality define this temple town best. It is known for its unique dialect in Kannada and amazing cuisine. Also a destination for nature buffs along with activities like hiking, trekking, rock climbing and boating, that can ma...",October to June,3229.855
BR Hills,karnataka,Adventure,4.6,"Around 175 kilometres away from Bangalore, BR Hills, also known as Billigiriranga Hills, is a hill range and one of the most popular road trips from Bangalore. BR hills is an abode to Billigiri Rangaaswamy Temple and BRT Wildlife sanctuary. This range of hills is a deific conjuncture for the Eastern...",October to June,3961.08
Shivanasamudra Falls,karnataka,Adventure,4.2,"Situated on the banks of river Kaveri, Shivanasamudra is primarily a hydropower project location but has gotten massive attention for its stunning waterfalls: Gaganachukki and Barachukki. Travellers enjoy the view of waterfalls from the benches, and there are steps that take visitors to many le...",March to May,3797.06
Bidar,karnataka,Historical,4.4,"A city rich in culture and heritage, Bidar is a historical city in Karnataka. Once considered to be the most flourishing cities in South India, Bidar is packed with great architectural marvels and ancient structures that add on to its charm. Being once the centre of power of many great kin...",October to May,5469.77
Munnar,kerala,Adventure,4.0,"Famous for the tea estates, greenery, winding roads, blanket of mist, and viewpoints, Munnar is a hill station in Kerala, located in the Idukki district. Lying in the Western Ghats at 1600 metres, it is one of the most sought after and visited travel destinations globally, especially popular amongst...",October to May,5265.09
Alleppey,kerala,Beach,4.0,"Officially called Alappuzha, Alleppey is known for its network of canals and lagoons with beautiful backwaters and the houseboats offering overnight stays. Located in the southern part of Kerala, the coastline of Alleppey offers some of the best beaches with water sports during the dry sea...",July to March,4535.34
Kochi,kerala,Beach,3.9,"Lying on the Malabar coast in the southwest of India, Kochi or Cochin is a port city with a trading history that dates back to at least 600 years. Known popularly as the Queen of the Arabian Sea, the city is also Kerala's financial, commercial, and industrial capital. Exuding an old-world charm with...",October to March,5778.63
Wayanad,kerala,Adventure,4.2,"Nestled in the Western Ghats of Kerala, Wayanad in Kerala is famous for its spice plantations and wildlife. Situated at an altitude ranging from 700 to 2100 meters above sea level, this picturesque region is blessed with verdant forests, mist-covered hills, and glistening waterfalls, making it ...",September to March,6623.07
Varkala,kerala,Beach,4.0,"Varkala is a coastal town in the southern part of Kerala known for the unique 15m high 'Northern Cliff' adjacent to the Arabian Sea. Located approximately 50 kilometers north of Thiruvananthapuram (Trivandrum), the capital city of Kerala, Varkala offers a perfect blend of natural beauty, s...",July to March,3328.83
Kumarakom,kerala,Beach,4.3,"With emerald green waters flanked by lush vegetation, Kumarakom is an enchanting backwater destination situated 16km away from Kottayam in Kerala. Lying on the banks of Vembanad Lake, Kerala's largest lake, Kumarakom is a cluster of small human-made islands reclaimed from the lake. This picturesque ...",November to February,5734.16
Vagamon,kerala,Adventure,4.1,"Vagamon, also known as Wagamon, is a tranquil hill station nestled near the border of Kottayam and Idukki districts in Kerala. Offering a serene retreat from the hustle and bustle of city life, Vagamon boasts meandering rivulets, verdant hills, tea gardens, pine forests, and captivating waterfalls, ...",November - February,3663.84
Kovalam,kerala,Beach,4.3,"Famous for its resorts and ayurvedic massage centres, Kovalam is a coastal town located around 13 km from Thiruvananthapuram in Kerala. The largest beach in Kovalam is the lighthouse beach that features a 30-metre tall lighthouse. The other two adjacent beaches are Samudra beach and Hawa beach....",September to May,4521.12
